relatives_1st_als,relatives_2nd_als,relatives_3rd_als,relatives_1st_ftd_unique,relatives_2nd_ftd_unique,relatives_3rd_ftd_unique,n,n_mendelian,n_non_mendelian,PPV,PPV_CI_low,PPV_CI_high,prevalence,criterion_label
0,0,0,0,0,0,206860,8636,198224,0.042,0.041,0.043,206860 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=0; 3rd_FTD=0
0,0,0,0,0,1,1549,291,1258,0.188,0.169,0.208,1549 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=0; 3rd_FTD=1
0,0,0,0,0,2,94,35,59,0.372,0.283,0.471,94 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=0; 3rd_FTD=2
0,0,0,0,0,3,17,2,15,0.118,0.061,0.315,17 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=0; 3rd_FTD=3
0,0,0,0,0,4,7,0,7,0,0.11,0.244,7 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=0; 3rd_FTD=4
0,0,0,0,0,5,5,0,5,0,0.12,0.314,5 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=0; 3rd_FTD=5
0,0,0,0,1,0,2942,1325,1617,0.45,0.432,0.468,2942 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=1; 3rd_FTD=0
0,0,0,0,1,1,130,98,32,0.754,0.675,0.818,130 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=1; 3rd_FTD=1
0,0,0,0,1,2,13,8,5,0.615,0.382,0.796,13 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=1; 3rd_FTD=2
0,0,0,0,1,3,4,4,0,1,0.633,0.878,4 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=1; 3rd_FTD=3
0,0,0,0,1,4,1,0,1,0,0,0.793,1 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=1; 3rd_FTD=4
0,0,0,0,2,0,129,86,43,0.667,0.583,0.741,129 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=2; 3rd_FTD=0
0,0,0,0,2,1,20,11,9,0.55,0.358,0.726,20 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=2; 3rd_FTD=1
0,0,0,0,2,2,9,1,8,0.111,0.075,0.38,9 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=2; 3rd_FTD=2
0,0,0,0,2,3,2,0,2,0,0.096,0.561,2 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=2; 3rd_FTD=3
0,0,0,0,2,4,2,0,2,0,0.096,0.561,2 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=2; 3rd_FTD=4
0,0,0,0,2,5,3,0,3,0,0.119,0.443,3 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=2; 3rd_FTD=5
0,0,0,0,3,0,12,6,6,0.5,0.283,0.717,12 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=3; 3rd_FTD=0
0,0,0,0,3,1,3,1,2,0.333,0.142,0.712,3 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=3; 3rd_FTD=1
0,0,0,0,3,2,4,1,3,0.25,0.124,0.621,4 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=3; 3rd_FTD=2
0,0,0,0,3,3,4,0,4,0,0.122,0.367,4 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=3; 3rd_FTD=3
0,0,0,0,3,4,7,0,7,0,0.11,0.244,7 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=3; 3rd_FTD=4
0,0,0,0,3,5,1,0,1,0,0,0.793,1 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=3; 3rd_FTD=5
0,0,0,0,4,0,3,1,2,0.333,0.142,0.712,3 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=4; 3rd_FTD=0
0,0,0,0,4,1,3,0,3,0,0.119,0.443,3 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=4; 3rd_FTD=1
0,0,0,0,4,2,2,0,2,0,0.096,0.561,2 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=4; 3rd_FTD=2
0,0,0,0,4,5,2,0,2,0,0.096,0.561,2 out of 272651 simulated index patients,1st_ALS=0; 2nd_ALS=0; 3rd_ALS=0; 1st_FTD=0; 2nd_FTD=4; 3rd_FTD=5
